Date,SP500,VIX,10Y_Treasury_Yield,Fed_Funds_Rate,USD_Index,CPI,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2015-01-02,2058.199951171875,17.790000915527344,4.37678576602479,0.1054492615613183,104.81029489115076,256.4503580425825,19.4089298248291,,25.54806137084961,16.274791717529297,46.21139907836914,18.084278106689453,35.86538314819336,,16.511268615722656,57.05784225463867,31.636646270751953
2015-01-05,2020.5799560546875,19.920000076293945,2.3900466011060915,3.3429894670585916,95.85599552822768,316.68130200020846,18.914234161376953,,24.491191864013672,15.932579040527344,45.13196563720703,17.808212280273438,35.61318588256836,,16.30940055847168,56.76685333251953,31.031570434570312
2015-01-06,2002.6099853515625,21.1200008392334,2.3899863008405067,3.2051868388510925,96.83457884758865,260.8646741754221,18.746681213378906,,24.13140296936035,15.689081192016602,44.57588577270508,17.593502044677734,35.56867599487305,,16.319843292236328,56.57563018798828,30.722396850585938
2015-01-07,2025.9000244140625,19.309999465942383,2.1452090304204985,3.007960775253147,102.58403673034204,294.6195071701633,18.958120346069336,,24.182804107666016,15.853608131408691,44.911170959472656,17.742481231689453,36.17694091796875,,16.479942321777344,57.905826568603516,31.208232879638672
2015-01-08,2062.139892578125,17.010000228881836,4.1654403644373375,0.17959287172632316,95.21986522039323,315.2573663711287,19.4089298248291,,24.725696563720703,16.090518951416016,45.81069564819336,18.132471084594727,36.725868225097656,,16.59480094909668,58.89520263671875,31.6763916015625
2015-01-09,2044.81005859375,17.549999237060547,3.502787529358022,3.671012466808173,103.16877985893782,293.0766658412874,19.3091983795166,,24.52973175048828,15.873347282409668,45.32004928588867,18.075515747070312,36.429161071777344,,16.490388870239258,58.371429443359375,31.309816360473633
2015-01-12,2028.260009765625,19.600000381469727,4.424774630404986,2.8272342996605517,98.65093920231806,268.8094172391203,19.265304565429688,,23.82301139831543,15.741728782653809,45.009307861328125,17.86517333984375,36.31788635253906,,16.452106475830078,58.396366119384766,31.142004013061523
2015-01-13,2023.030029296875,20.559999465942383,4.0811066020010545,1.7793815345967454,101.11494852719198,288.0099151951597,19.049875259399414,,23.63347816467285,15.689081192016602,44.919342041015625,17.852033615112305,36.31046676635742,,16.49734878540039,58.13863754272461,31.142004013061523
2015-01-14,2011.27001953125,21.479999542236328,2.5308477766956905,0.759423708810128,101.96031406989114,252.50090718490844,18.82646369934082,,23.707368850708008,15.465325355529785,44.67402648925781,17.751245498657227,36.19919204711914,,16.640047073364258,58.04719543457031,30.766557693481445
2015-01-15,1992.6700439453125,22.389999389648438,2.4545624180177517,0.5626525985363567,98.42475219186304,282.84207061564797,18.790559768676758,,23.405405044555664,15.274480819702148,44.46139907836914,17.523387908935547,36.25853729248047,,16.77230453491211,57.42364501953125,30.369070053100586
